finding_id,case_id,scanner_name,package_name,package_version,ecosystem,package_manager,vulnerability_id,cve_id,ghsa_id,osv_id,severity,cvss_score,fixed_version,advisory_url,dependency_scope,direct_or_transitive,source_file,raw_reference,scanner_confidence,normalization_notes
10f9db271974da78af5c,case_018,pip_audit,jinja2,2.10,pypi,pip,PYSEC-2021-66,CVE-2020-28493,GHSA-G3RQ-G295-4J3M,PYSEC-2021-66,,,2.11.3,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_018.json,unknown,pip-audit scanner result
fa9d71bbf2896549aa3a,case_019,npm_audit,express,4.16.0,npm,npm,1100530,,GHSA-QW6H-VGH9-J6WX,1100530,low,5.0,4.22.1,https://github.com/advisories/GHSA-qw6h-vgh9-j6wx,runtime,direct,node_modules/express,artifacts\scanner_raw\npm_audit\case_019.json,unknown,npm audit scanner result
5e9c2bf5fb6791548430,case_019,npm_audit,express,4.16.0,npm,npm,1111636,,GHSA-RV95-896H-C2VC,1111636,moderate,6.1,4.22.1,https://github.com/advisories/GHSA-rv95-896h-c2vc,runtime,direct,node_modules/express,artifacts\scanner_raw\npm_audit\case_019.json,unknown,npm audit scanner result
a5fa799bab3849ec0bff,case_019,npm_audit,qs,6.5.1,npm,npm,1104118,,GHSA-HRPP-H998-J3PP,1104118,high,7.5,4.22.1,https://github.com/advisories/GHSA-hrpp-h998-j3pp,transitive,transitive,node_modules/qs,artifacts\scanner_raw\npm_audit\case_019.json,unknown,npm audit scanner result
2ff8544aa8483b8c5967,case_019,npm_audit,qs,6.5.1,npm,npm,1113719,,GHSA-6RW7-VPXM-498P,1113719,moderate,3.7,4.22.1,https://github.com/advisories/GHSA-6rw7-vpxm-498p,transitive,transitive,node_modules/qs,artifacts\scanner_raw\npm_audit\case_019.json,unknown,npm audit scanner result
663c3174755221bad64a,case_020,pip_audit,flask,0.12.2,pypi,pip,CVE-2026-27205,CVE-2026-27205,GHSA-68RP-WP8R-4726,,,,3.1.3,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
38ae27ba53c10af219ba,case_020,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2018-66,CVE-2018-1000656,GHSA-562C-5R94-XH97,PYSEC-2018-66,,,0.12.3,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
a29c743de67329760efb,case_020,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2019-179,CVE-2019-1010083,GHSA-5WV5-4VPF-PJ6M,PYSEC-2019-179,,,1.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
e372f93ebdada10b75a3,case_020,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2023-62,CVE-2023-30861,GHSA-M2QF-HXJV-5GPQ,PYSEC-2023-62,,,2.2.5,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
b42e3bb88b0c08f985d8,case_020,pip_audit,jinja2,2.10,pypi,pip,CVE-2024-22195,CVE-2024-22195,GHSA-H5C8-RQWP-CP95,,,,3.1.3,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
dd3309273e4d0f97023a,case_020,pip_audit,jinja2,2.10,pypi,pip,CVE-2024-34064,CVE-2024-34064,GHSA-H75V-3VVJ-5MFJ,,,,3.1.4,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
6707c5935c6c650fe445,case_020,pip_audit,jinja2,2.10,pypi,pip,CVE-2024-56326,CVE-2024-56326,GHSA-Q2X7-8RV6-6Q7H,,,,3.1.5,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
2c10f637f57b9c148b74,case_020,pip_audit,jinja2,2.10,pypi,pip,CVE-2025-27516,CVE-2025-27516,GHSA-CPWX-VRP4-4PQ7,,,,3.1.6,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
a1fbcd41bdde37bc9ffb,case_020,pip_audit,jinja2,2.10,pypi,pip,PYSEC-2019-217,CVE-2019-10906,GHSA-462W-V97R-4M45,PYSEC-2019-217,,,2.10.1,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
a5579bea8ec8b999f3e2,case_020,pip_audit,jinja2,2.10,pypi,pip,PYSEC-2021-66,CVE-2020-28493,GHSA-G3RQ-G295-4J3M,PYSEC-2021-66,,,2.11.3,,transitive,transitive,requirements.lock,artifacts\scanner_raw\pip_audit\case_020.json,unknown,pip-audit scanner result
fbe8c3351a4aa3daa501,case_021,npm_audit,express,4.16.0,npm,npm,1100530,,GHSA-QW6H-VGH9-J6WX,1100530,low,5.0,4.22.1,https://github.com/advisories/GHSA-qw6h-vgh9-j6wx,runtime,direct,node_modules/express,artifacts\scanner_raw\npm_audit\case_021.json,unknown,npm audit scanner result
3d9f44081bd207805296,case_021,npm_audit,express,4.16.0,npm,npm,1111636,,GHSA-RV95-896H-C2VC,1111636,moderate,6.1,4.22.1,https://github.com/advisories/GHSA-rv95-896h-c2vc,runtime,direct,node_modules/express,artifacts\scanner_raw\npm_audit\case_021.json,unknown,npm audit scanner result
607b0e0584b8e5403e59,case_021,npm_audit,qs,6.5.1,npm,npm,1104118,,GHSA-HRPP-H998-J3PP,1104118,high,7.5,4.22.1,https://github.com/advisories/GHSA-hrpp-h998-j3pp,transitive,transitive,node_modules/qs,artifacts\scanner_raw\npm_audit\case_021.json,unknown,npm audit scanner result
69fd8f073f58a30ab20e,case_021,npm_audit,qs,6.5.1,npm,npm,1113719,,GHSA-6RW7-VPXM-498P,1113719,moderate,3.7,4.22.1,https://github.com/advisories/GHSA-6rw7-vpxm-498p,transitive,transitive,node_modules/qs,artifacts\scanner_raw\npm_audit\case_021.json,unknown,npm audit scanner result
b28313b1b573c35db0c7,case_022,pip_audit,flask,0.12.2,pypi,pip,CVE-2026-27205,CVE-2026-27205,GHSA-68RP-WP8R-4726,,,,3.1.3,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_022.json,unknown,pip-audit scanner result
77005605feb35cd06ef5,case_022,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2018-66,CVE-2018-1000656,GHSA-562C-5R94-XH97,PYSEC-2018-66,,,0.12.3,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_022.json,unknown,pip-audit scanner result
acbe419f1f993b2a29c4,case_022,pip_audit,flask,0.12.2,pypi,pip,PYSEC-2019-179,CVE-2019-1010083,GHSA-5WV5-4VPF-PJ6M,PYSEC-2019-179,,,1.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_022.json,unknown,pip-audit scanner result
